first_name,last_name,team,games_suspended,category,desc.,year,source
Dashon,Goldson,DEN,1,In-game violence,Head-butt,2013,http://www.nfl.com/news/story/0ap2000000284209/article/bucs-dashon-goldson-has-onegame-suspension-upheld
Michael,Griffin,MIN,1,In-game violence,Illegal hit,2013,http://www.nfl.com/news/story/0ap2000000287948/article/titans-michael-griffin-suspended-1-game-for-illegal-hit
James,Harrison,PIT,1,In-game violence,Helmet-to-helmet hit,2011,http://espn.go.com/nfl/story/_/id/7348112/pittsburgh-steelers-james-harrison-banned-1-game-hit-cleveland-browns-colt-mccoy
Albert,Haynesworth,TEN,5,In-game violence,Stomping on player,2006,http://sports.espn.go.com/nfl/news/story?id=2610577
Charles,Martin,GB,2,In-game violence,Illegal hit,2012,http://espn.go.com/blog/nflnation/tag/_/name/frank-filchock
Joe,Mays,DEN,1,In-game violence,Helmet-to-helmet hit,2012,http://www.nfl.com/news/story/0ap1000000066219/article/joe-mays-suspended-one-game-for-hit-on-matt-schaub
Brandon,Meriweather,WAS,1,In-game violence,Helmet-to-helmet hit,2013,http://www.nfl.com/news/story/0ap2000000268595/article/brandon-meriweathers-suspension-reduced-to-1-game
Antonio,Smith,HOU,3,In-game violence,Ripping off opponent's helmet,2013,http://www.nfl.com/news/story/0ap1000000233139/article/houston-texans-de-antonio-smiths-suspension-appeal-denied
Ndamukon,Suh,DET,2,In-game violence,Stomping on player,2011,http://espn.go.com/nfl/story/_/id/7293935/ndamukong-suh-detroit-lions-suspended-two-games-pay
Erik,Walden,IND,1,In-game violence,Head-butt,2013,http://www.nfl.com/news/story/0ap2000000284117/article/erik-walden-has-onegame-ban-for-headbutt-upheld
Vince,Amoia,NO,3,PEDs,,1989,http://www.nytimes.com/1989/08/30/sports/two-suspended-jets-are-out-of-a-job.html
Mike,Ariey,GB,4,PEDs,,2008,http://www.utsandiego.com/uniontrib/20080921/news_1s21nfl89.html
Obafemi,Ayanbadejo,CHI,4,PEDs,,2007,http://sports.espn.go.com/nfl/news/story?id=2967677
Stedman,Bailey,STL,4,PEDs,,2014,http://www.nfl.com/news/story/0ap2000000349785/article/st-louis-rams-stedman-bailey-suspended-four-games
Allen,Barbre,CAR,4,PEDs,,2012,http://seattletimes.com/html/localnews/2018272778_apfbnseahawksbarbresuspended.html
Tommy,Bennett,DET,4,PEDs,,2001,http://articles.latimes.com/2001/dec/15/sports/sp-15083
Jordan,Black,WAS,4,PEDs,,2012,http://www.nfl.com/news/story/0ap1000000113061/article/jordan-black-of-redskins-suspended-four-games-for-peds
Darryl,Blackstock,CIN,4,PEDs,,2008,http://sports.espn.go.com/nfl/news/story?id=3631111
Brandon,Bolden,BAL,4,PEDs,,2012,http://www.nfl.com/news/story/0ap1000000092510/article/brandon-bolden-suspended-for-violating-drug-policy
David,Boston,MIA,4,PEDs,,2004,http://sports.espn.go.com/nfl/news/story?id=1939250
Dwayne,Bowe,STL,4,PEDs,,2009,http://sports.espn.go.com/nfl/news/story?id=4663877
John,Brandom,ARI,3,PEDs,,1990,http://articles.latimes.com/1990-08-14/sports/sp-693_1_offensive-linemen
Duane,Brown,HOU,4,PEDs,,2012,http://sports.espn.go.com/nfl/news/story?id=5600928
Garrett,Brown,WAS,4,PEDs,,2014,http://www.nfl.com/news/story/0ap2000000051195/article/garrett-brown-of-san-diego-chargers-suspended-four-games
Ray,Buchanan,JAX,4,PEDs,,2002,http://a.espncdn.com/nfl/news/2002/0911/1430323.html
Brentson,Buckner,CAR,4,PEDs,,2003,http://a.espncdn.com/nfl/columns/pasquarelli_len/1455668.html
Tony,Burse,SEA,4,PEDs,,1989,http://articles.chicagotribune.com/1989-08-30/sports/8901090097_1_steroid-drug-policy-league-spokesman-joe-browne
Lewis,Bush,KC,4,PEDs,,2002,http://a.espncdn.com/nfl/columns/pasquarelli_len/1457788.html
Byron,Chamberlain,MIN,4,PEDs,,2003,http://a.espncdn.com/nfl/news/2003/0711/1579603.html
Jesse,Chatman,NYJ,4,PEDs,,2012,http://www.nfl.com/news/story/09000d5d80a65c4c/article/chatman-suspended-four-games-for-violating-nfls-steroids-policy
